"","Country","WHO_region","T0","T0/2","T0/3","T0/4","T0/5","Criterion","transform","filter","domain"
"243","Lebanon","EMRO",0,0,0,0,0,"SC",0,"high-pass","frequency"
"244","Libya","EMRO",0,0,0,0,0,"SC",0,"high-pass","frequency"
"245","Morocco","EMRO",0,0,0,0,0,"SC",0,"high-pass","frequency"
"246","Oman","EMRO",0,0,0,0,0,"SC",0,"high-pass","frequency"
"247","Pakistan","EMRO",0,0,0,0,0,"SC",0,"high-pass","frequency"
"248","Qatar","EMRO",0,0,0,0,0,"SC",0,"high-pass","frequency"
"249","Saudi Arabia","EMRO",0,0,0,0,0,"SC",0,"high-pass","frequency"
"250","Somalia","EMRO",0,0,0,0,0,"SC",0,"high-pass","frequency"
"251","Sudan","EMRO",0,0,0,0,0,"SC",0,"high-pass","frequency"
"252","Syrian Arab Republic","EMRO",0,0,0,0,0,"SC",0,"high-pass","frequency"
"253","Tunisia","EMRO",0,0,0,0,0,"SC",0,"high-pass","frequency"
"254","United Arab Emirates","EMRO",0,0,0,0,0,"SC",0,"high-pass","frequency"
"255","Yemen","EMRO",0,0,0,0,0,"SC",0,"high-pass","frequency"
"256","occupied Palestinian territory including east Jerusalem","EMRO",0,0,0,0,0,"SC",0,"high-pass","frequency"
"257","Albania","EURO",0,0,0,0,0,"BIC",0,"high-pass","frequency"
"258","Andorra","EURO",0,1,1,0,0,"BIC",0,"high-pass","frequency"
"259","Armenia","EURO",0,0,0,0,0,"BIC",0,"high-pass","frequency"
"260","Austria","EURO",0,0,0,0,0,"BIC",0,"high-pass","frequency"
"261","Azerbaijan","EURO",0,0,0,0,0,"BIC",0,"high-pass","frequency"
"262","Belarus","EURO",0,0,0,0,0,"BIC",0,"high-pass","frequency"
"263","Belgium","EURO",0,1,1,0,0,"BIC",0,"high-pass","frequency"
"264","Bosnia and Herzegovina","EURO",0,1,1,0,0,"BIC",0,"high-pass","frequency"
"265","Bulgaria","EURO",0,1,1,0,0,"BIC",0,"high-pass","frequency"
"266","Croatia","EURO",0,1,0,0,0,"BIC",0,"high-pass","frequency"
"267","Cyprus","EURO",0,1,1,0,0,"BIC",0,"high-pass","frequency"
"268","Czechia","EURO",0,1,0,0,0,"BIC",0,"high-pass","frequency"
"269","Denmark","EURO",0,0,0,0,0,"BIC",0,"high-pass","frequency"
"270","Estonia","EURO",0,0,0,0,0,"BIC",0,"high-pass","frequency"
"271","Faroe Islands","EURO",0,0,0,0,0,"BIC",0,"high-pass","frequency"
"272","Finland","EURO",0,1,1,0,0,"BIC",0,"high-pass","frequency"
"273","France","EURO",0,0,0,0,0,"BIC",0,"high-pass","frequency"
"274","Georgia","EURO",0,0,0,0,0,"BIC",0,"high-pass","frequency"
"275","Germany","EURO",0,1,1,0,0,"BIC",0,"high-pass","frequency"
"276","Gibraltar","EURO",0,1,1,0,0,"BIC",0,"high-pass","frequency"
"277","Greece","EURO",0,1,1,0,0,"BIC",0,"high-pass","frequency"
"278","Greenland","EURO",0,0,0,0,0,"BIC",0,"high-pass","frequency"
"279","Guernsey","EURO",0,1,1,0,0,"BIC",0,"high-pass","frequency"
"280","Holy See","EURO",0,0,0,0,0,"BIC",0,"high-pass","frequency"
"281","Hungary","EURO",0,1,1,0,0,"BIC",0,"high-pass","frequency"
"282","Iceland","EURO",0,0,0,0,0,"BIC",0,"high-pass","frequency"
"283","Ireland","EURO",0,0,0,0,0,"BIC",0,"high-pass","frequency"
"284","Isle of Man","EURO",0,0,0,0,0,"BIC",0,"high-pass","frequency"
"285","Israel","EURO",0,0,0,0,0,"BIC",0,"high-pass","frequency"
"286","Italy","EURO",0,0,0,0,0,"BIC",0,"high-pass","frequency"
"287","Jersey","EURO",0,0,0,0,0,"BIC",0,"high-pass","frequency"
"288","Kazakhstan","EURO",0,0,0,0,0,"BIC",0,"high-pass","frequency"
"289","Kosovo","EURO",0,0,0,0,0,"BIC",0,"high-pass","frequency"
"290","Kyrgyzstan","EURO",0,0,0,0,0,"BIC",0,"high-pass","frequency"
"291","Latvia","EURO",0,0,0,0,0,"BIC",0,"high-pass","frequency"
"292","Liechtenstein","EURO",0,0,0,0,0,"BIC",0,"high-pass","frequency"
"293","Lithuania","EURO",0,0,0,0,0,"BIC",0,"high-pass","frequency"
"294","Luxembourg","EURO",0,1,1,0,0,"BIC",0,"high-pass","frequency"
"295","Malta","EURO",0,0,0,0,0,"BIC",0,"high-pass","frequency"
